"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"23:43:40,6973561","parent.exe","20288","QueryStandardInformationFile","C:\Windows\apppatch\MergeSdbFilesSource\sysMerge.sdb","SUCCESS","AllocationSize: 32 768, EndOfFile: 31 900, NumberOfLinks: 2, DeletePending: False, Directory: False"
"23:43:40,6973798","parent.exe","20288","CreateFileMapping","C:\Windows\apppatch\MergeSdbFilesSource\sysMerge.sdb","SUCCESS","SyncType: SyncTypeOther"
"23:43:40,6975390","parent.exe","20288","CloseFile","C:\Windows\apppatch\sysmain.sdb","SUCCESS",""
"23:43:40,6976250","parent.exe","20288","CloseFile","C:\Windows\apppatch\MergeSdbFilesSource\sysMerge.sdb","SUCCESS",""
"23:43:40,6976946","parent.exe","20288","CloseFile","C:\Users\kseni\lab3OSWaL\lab3OS\build\bin\child2.exe","SUCCESS",""
"23:44:10,6672035","parent.exe","20288","Thread Exit","","SUCCESS","Thread ID: 20352, User Time: 0.0000000, Kernel Time: 0.0000000"
"23:44:10,6672537","parent.exe","20288","Thread Exit","","SUCCESS","Thread ID: 19752, User Time: 0.0000000, Kernel Time: 0.0000000"
"23:44:24,5384975","parent.exe","20288","QueryNameInformationFile","C:\Users\kseni\lab3OSWaL\lab3OS\build\bin\child1.exe","SUCCESS","Name: \Users\kseni\lab3OSWaL\lab3OS\build\bin\child1.exe"
"23:44:24,5385622","parent.exe","20288","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\child1.exe","NAME NOT FOUND","Desired Access: Query Value"
"23:44:24,5463634","parent.exe","20288","QueryNameInformationFile","C:\Users\kseni\lab3OSWaL\lab3OS\build\bin\child2.exe","SUCCESS","Name: \Users\kseni\lab3OSWaL\lab3OS\build\bin\child2.exe"
"23:44:24,5464211","parent.exe","20288","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\child2.exe","NAME NOT FOUND","Desired Access: Query Value"
"23:44:24,5527866","parent.exe","20288","Thread Exit","","SUCCESS","Thread ID: 20272, User Time: 0.0000000, Kernel Time: 0.0000000"
"23:44:24,5532847","parent.exe","20288","Process Exit","","SUCCESS","Exit Status: 0, User Time: 0.0000000 seconds, Kernel Time: 0.0000000 seconds, Private Bytes: 790 528, Peak Private Bytes: 880 640, Working Set: 18 178 048, Peak Working Set: 18 178 048"
"23:44:24,5533397","parent.exe","20288","RegOpenKey","HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-956525231-4267278670-869784965-1001","SUCCESS","Desired Access: All Access"
"23:44:24,5533803","parent.exe","20288","RegQueryValue","HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-956525231-4267278670-869784965-1001\\Device\HarddiskVolume3\Users\kseni\lab3OSWaL\lab3OS\build\bin\parent.exe","NAME NOT FOUND","Length: 40"
"23:44:24,5534207","parent.exe","20288","RegCloseKey","HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-956525231-4267278670-869784965-1001","SUCCESS",""
"23:44:24,5535345","parent.exe","20288","CloseFile","C:\Users\kseni\lab3OSWaL\lab3OS\build","SUCCESS",""
"23:44:24,5536566","parent.exe","20288","RegCloseKey","HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions","SUCCESS",""
"23:44:24,5536996","parent.exe","20288","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options","SUCCESS",""
"23:44:24,5537277","parent.exe","20288","RegCloseKey","HKCU\Software\Microsoft\Windows NT\CurrentVersion","SUCCESS",""
"23:44:24,5537421","parent.exe","20288","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS",""
